Ticker,Name,Country/Region,Currency
FVHRM M24 Index,NYMEX Heating Oil Futures minu,US,USD
FSQCM M24 Index,Bloomberg Fair Value Price/ICE,MULT,USD
CIOITTAL Index,China Weekly Iron Ore Inventor,CH,
COAS5500 Index,China CCI 5500 Thermal Coal Pr,CH,CNY
IU34VSQW Index,EUA Future Investment Funds Ne,,
GCFPDANO Index,US Gulf NOLA DAP Spot Price,US,USD
PVSIPR00 Index,Solar Grade Polysilicon Price,MULT,USD
TFF1DLFN Index,CFTC CME Japanese Yen Leverage,,
NAMC0031 Index,PLATTS TSI Premium Hard Coking,,USD
FSQCY 25 Index,Bloomberg Fair Value Price/ICE,MULT,USD
TRSSCTCT Index,Suez Canal (South>North) Conta,EG,
KI1 Comdty,Generic 1st 'KI' Future,US,USD
L4CNVTTG Index,China Lithium Carbonate Li2CO3,CH,CNY
FVHRM K24 Index,NYMEX Heating Oil Futures minu,US,USD
OILPHIST Index,Bloomberg Crude Oil Historical,US,USD
CROMUS Index,DOE EIA US Crude Oil Productio,US,
NGCDAECO Index,AECO C Hub CAD/Gj Natural Gas,CA,CAD
NYM1CNCN Index,Bloomberg CFTC NYME Crude Oil,US,
LNGG20DT Index,LNG on Water for at least 20 D,MULT,
PDS1 Comdty,Generic 1st 'PDS' Future,ZA,ZAR
FNNSM1 Index,Bloomberg Fair Value Price/NWE,MULT,USD
NEX1Y Comdty,Generic 1st 'NEXY' Fut,NO,EUR
CFCDQMMN Index,CFTC NYMEX Crude Oil Managed M,US,
NGGCHOUS Index,Houston Ship Channel Natural G,US,USD
CECN00CU Index,China Copper Cathode 99.95% Pr,CH,CNY
IMM6ANCN Index,Bloomberg CFTC CME Australian,,
IU60VSQW Index,Dutch TTF NatGas Base Load Inv,,
OLO8SSM1 Index,Commodity3 Olive Oil Spain  Ex,SP,EUR
ELFB1MON Index,France Baseload Power Forward,FR,EUR
IMM6MNCN Index,Bloomberg CFTC CME Mexican Pes,,
FSFUM1 Index,ICE UK Natural Gas NBP Futures,GB,USD
ENK4 Comdty,WTI CRUDE FUTURE  May24,GB,USD
CRB METL Index,Commodity Research Bureau BLS/,US,USD
ICCTCTOT Index,ICE Certified Cotton Total,US,
GCFPURMG Index,Middle East Urea Granular Spot,MULT,USD
FBYF5 Comdty,Italian Base Year Jan25,DE,EUR
EGTHDAHD Index,Germany THE Natural Gas Forwar,GE,EUR
CECNST04 Index,China Copper Cathode Shanghai,,
ICROVALD Index,ICE Robusta Coffee Total Valid,,
FVHQM K24 Index,Bloomberg  Price/Nymex Heating,US,USd
PJMF1MON Index,US Power PJM Western Hub Real,US,USD
GSPRDPRM Index,Permian Estimated Dry Gas Prod,,
BOXBBC9V Index,USDA Boxed Beef Cutout Value 6,US,USD
GCFPPONO Index,US Gulf NOLA Potash Spot Price,US,USD
DOEDDIST Index,DOE Distillate Products Suppli,US,
EN1 Comdty,Generic 1st 'EN' Future,GB,USD
IADMGOLD Index,Bloomberg Composite Gold Infla,US,USD
RIN4Y 24 Index,US Biomass Based Diesel D4 RIN,US,USD
EGTPNTLE Index,LNG to N Europe > NWE Gas Flow,,
GSTMSMPL Index,Salt Storage Sample Facilities,US,
FVHQM J24 Index,Bloomberg  Price/Nymex Heating,US,USd
API2YR1 Index,Europe Coal 6000kcal CIF ARA F,MULT,USD
CEI1CNCN Index,Bloomberg CFTC CMX Copper Net,US,
CUR1EXTO Index,Russian total crude oil seabor,RU,
FSWJM1 Index,Bloomberg Fair Value Price/Nor,MULT,USD
NYC2UNCN Index,Bloomberg CFTC NYCE US Dollar,,
PTT1M Comdty,Generic 1st 'PTT'Future,DE,EUR
GKK24 Comdty,NAT GAS EUR OPT   May24,US,USD
FINSETFD Index,US Gulf Ethylene (Olefins) FD,US,USd
IVOLLCOP Index,LME Copper 3M Implied Volatili,,
ELFBYR1 Index,France Baseload Power Forward,FR,EUR
CTCTVSQW Index,Copper LME COT Investment Fund,,
GCFPAMME Index,Middle East Ammonia Spot Price,MULT,USD
JETKSPOT Index,Jet Fuel Singapore FOB Cargoes,SI,USD
USWIUTTL Index,US Drilled But Uncompleted Wel,US,
EDGEBEEF Index,HedgersEdge Beef Packer Margin,US,USD
COMXGOLD Index,Comex Gold Inventory Data,US,
CCB1AM1M Index,COCOA Butter CIF NWE M1,,EUR
IHBAHBA Index,Indonesian Coal Reference Pric,ID,USD
TCPMPQSD Index,Caustic Soda US - Export Spot,US,USD
FVQCM Z24 Index,ICE Gasoil Futures minus ICE B,MULT,USD
L4US995D Index,United States Lithium Carbonat,US,USD
CMXOGNCN Index,Bloomberg CFTC CMX Gold Net No,US,
FSWJM0 Index,Bloomberg Fair Value Price/Nor,MULT,USD
FURAM1 Index,Bloomberg Commodity Fair Value,MULT,USD
JCIASBCM Index,China Soybean Crush Margins,CH,CNY
USRFRUSA Index,US Retail Automotive Gasoline,US,USD
CFCDCMMN Index,CFTC CBT Corn Managed Money Ne,US,
CGIEDEFU Index,GIE Germany Gas % Full,GE,
DIEIGULP Index,ULSD 62 Colonial Pasadena MOC,US,USD
HISTCNGH Index,US Continental Gas Heating Deg,,
MERSPVHO Index,Houston PVC Resin Suspension P,US,USD
GSDEDUSP Index,US Lower 48 Natural Gas Estima,US,
LC3FM1 Index,FEI Asia Propane CFR Far East,MULT,USD
AJTTM1 Index,Asia JKM LNG vs Netherlands Na,MULT,USD
EEDATTF1 Index,PEGAS TTF Spot - Day-Ahead,NE,EUR
FSXCM1 Index,Bloomberg Fair Value Price/RBO,US,USD
BSLRGB1K Index,Gold Bar 1 Kilogram Spot Price,V1,CHF
GLCNIM Index,China Non-Monetary Gold Total,,
TZTK4 Comdty,TTF NAT GAS F     May24,NL,EUR
GEBBM1 Index,European Gasoline EBOB FOB Rot,NE,USD
CSCIPGTL Index,ICE Coffee Total Bags Pending,US,
GPCNASPZ Index,China Graphite Electrode U.H.P,CH,USD
DARATOTL Index,Genscape ARA Crude Total Tank,,
XEN4 Comdty,ICE RTD QRTY COAL Jul24,GB,USD
FSQCM K24 Index,Bloomberg Fair Value Price/ICE,MULT,USD
JGLK4 Comdty,LNG Platts JKM FU May24,JP,JPY
CFCDTMMN Index,CFTC CMX Copper Managed Money,US,
USCRWTIM Index,Crude Oil WTI Midland,US,USD
CFFDUMMN Index,CFTC CMX Gold Managed Money Ne,US,
JXYF5 Comdty,Phelix DE Base Y  Jan25,DE,EUR
IMMOJNCN Index,Bloomberg CFTC CME Japanese Ye,,
BAAWHYDP Index,CEPEA ESALQ Ethanol Hydrous Fu,BZ,BRL
COCAEUTL Index,ICE Futures EU Cocoa Stockpile,MULT,
MAZAUGTL Index,South Africa Manganese Ore 38%,SA,USD
IISICHIN Index,IISI Crude Steel Production Da,CH,
CECNST05 Index,China Copper Cathode Social In,,
GK1 Comdty,Generic 1st 'GK' Future,US,USD
RBOB87PM Index,RBOB Regular Gasoline NY Bucke,US,USD
SHFAALUD Index,Shanghai Futures Exchange Week,CH,
GSLIQCLC Index,LNG Net Flows Calcasieu Pass,US,
FOK4 Comdty,FUEL OIL FUTURE   May24,CN,CNY
ICCBAMMN Index,ICE Gasoil Futures COT Managed,GB,
U61 Comdty,Generic 1st 'U6' Future,IN,INR
GCFPNPKI Index,Green Markets North America Fe,US,USD
MUC1 Comdty,Generic 1st 'MUC' Future,AE,USD
FN3PM1 Index,ERCOT North 345KV Hub Real Tim,US,USD
EXAPBDHD Index,EXAA Germany Day Ahead Baseloa,GE,EUR
WCSISPOT Index,CA Crude Western Canadian Sele,,USD
GDTRAUOZ Index,SPDR Gold Trust Gold Holdings,US,
ST14IC Index,World Crude Oil & Liquid Fuels,,
OPCRSAUD Index,Bloomberg OPEC Crude Oil Produ,SR,
ARASGSLN Index,PJK International ARA Gasoline,MULT,
FVXHM K24 Index,NYMEX RBOB Gasoline Futures mi,US,USd
STANCCXW Index,North America Steel Cold Rolle,US,USD
CFCDGMMN Index,CFTC CBT Soyb Managed Money Ne,US,
FZWWFST Index,Global Crude Oil Floating Stor,MULT,
TTUSSPO2 Index,US Titanium Dioxide (TiO2) Spo,,USD
TFF2HLFN Index,CFTC CBT 10 Year T Notes Lever,,
AMUSDEL Index,US Midwest Aluminum Ingot Prem,US,USd
API41MON Index,South Africa 6000kcal FOB Rich,SA,USD
CLCO1 Index,Bloomberg First Month Nymex WT,US,USD
DWOPRUSS Index,DOE Russia Crude Oil Productio,RU,
PWNXFRAV Index,EPEX Spot Day-Ahead Baseload E,FR,EUR
CNORTOTL Index,China Iron Ore Inventory Total,CH,
FDUSM1 Index,Bloomberg Fair Value Price/Bre,MULT,USD
GASL10PM Index,Singapore Gasoil 10 ppm Spot,SI,USD
