Date,last_price,return,volatility_weekly,volatility_monthly,volatility_annual,T+1 return,T+3 return,T+5 return,T+10 return
2021-07-21,14.315,0.003716168840274703,0.02253099416512159,0.04572371168497579,0.059011676652442675,14.665,0.050426187235871334,0.09949017843754682,0.12409934079411311
2021-07-22,14.665,0.02444987775061125,0.02179340751145905,0.04574711250677288,0.05901742067803917,14.39,0.008974898331229886,0.08399246704331453,0.2039825970548863
2021-07-23,14.39,-0.018752130923968546,0.026135685092317236,0.046151795165710316,0.05903471173948951,14.548,0.01627663290254988,0.042045698732182446,0.07659291053060024
2021-07-26,14.548,0.01097984711605271,0.01729607926777083,0.046039464856074235,0.0590338196563438,14.959,0.020047732696897302,0.048871126069274906,0.10089785104503979
2021-07-27,14.959,0.02825130602144621,0.018766150629996935,0.04623835759432054,0.0590297405633587,15.11,0.050034746351633075,0.05553615089067421,0.13711619506321493
2021-07-28,15.11,0.01009425763754268,0.018469682817931116,0.04616429424200634,0.05902902044502019,15.629,0.0743057464943635,0.06573474258438461,0.17176488229119813
2021-07-29,15.629,0.03434811383189951,0.020670421127260974,0.04650185498114566,0.05904579167797316,15.699,0.049468547362791604,0.09096594857539952,0.1825988700564971
2021-07-30,15.699,0.004478853413526052,0.012906123289341176,0.04635363198794463,0.05904662199322894,16.255,0.07577763070814036,0.11733571624965622,0.1643148771577967
2021-08-02,16.255,0.03541626855213709,0.014308632939794211,0.045265073500757896,0.05906623000104443,15.959,0.021114594663766084,0.06684938832809673,0.11898751928200801
2021-08-03,15.959,-0.01820978160565978,0.02243368259384398,0.044737652932345946,0.05901064630932719,15.915,0.01375883814255685,0.0532759761747188,0.11177086971708006
2021-08-04,15.915,-0.0027570649790087387,0.02358859869607361,0.04411855407287885,0.05898140476588199,16.155,-0.006151953245155162,0.033655384221639384,0.1016024548244121
2021-08-05,16.155,0.015080113100848447,0.02006031825015023,0.04409390456660046,0.058848668229184706,17.295,0.08371451845353728,0.10166252627555905,0.20187630298818626
2021-08-06,17.295,0.0705663881151346,0.034629091118386655,0.04091078291357517,0.058882753726703284,17.234,0.08287778825007863,0.060227622270070835,0.18463018971679968
2021-08-10,17.234,-0.003527030933795916,0.034679726665461146,0.03453304753944771,0.05883473003522082,16.988,0.05156298359640976,0.06447772416818087,0.13563740891770837
2021-08-11,16.988,-0.014274109318788586,0.033850846515526924,0.02371391229699309,0.0588515025535645,17.155,-0.00809482509395787,0.07791391768771616,0.13534083388484452
2021-08-12,17.155,0.009830468566046635,0.032837274172856604,0.023681120398183517,0.05885060045654857,16.95,-0.016479053034698987,0.0492107706592384,0.08452236227525756
2021-08-13,16.95,-0.011949868842903055,0.03507934712093587,0.023059675013565723,0.0587687129139512,17.715,0.04279491405698144,0.024284475281873164,0.12841582266386387
