Date,displace_ratio_20,displace_ratio_40,displace_ratio_60,zero_crossings_10,zero_crossings_20,zero_crossings_40,zero_crossings_60,y_n1,y_n5,y_n10,y_n20,y_label_n1,y_label_n5,y_label_n10,y_label_n20,hurst_simplify_random_walk,hurst_notsimplify_random_walk,hurst_simplify_price,hurst_notsimplify_price,hurst_simplify_change,hurst_notsimplify_change,mom_5d,mom_20d,mom_90d,mom_150d
2017-05-31,-0.8000000000000004,-0.049999999999999864,-0.26829268292682923,0.1,0.15,0.1,0.08333333333333333,-0.0046403795565024275,0.01379332213233564,0.009216655104923976,0.01834913866819643,False,True,True,True,,,,,,,-0.02739897418811421,-0.06280090123903026,-0.38362336619311566,
2017-06-01,-0.7894736842105269,-0.07317073170731729,-0.3086419753086419,0.1,0.15,0.1,0.08333333333333333,0.0,0.009259325412796837,0.027524673390090237,0.013857034661426404,False,True,True,True,,,,,,,-0.022989518224698857,-0.07609934353864722,-0.3882637457496181,
2017-06-02,-0.7647058823529419,-0.07317073170731729,-0.341772151898734,0.1,0.05,0.1,0.1,0.0,0.009259325412796837,0.013857034661426404,0.013857034661426404,False,True,True,True,,,,,,,-0.013857034661426404,-0.06744128079553269,-0.3882637457496181,
2017-06-05,-0.7647058823529419,-0.07317073170731729,-0.30666666666666664,0.1,0.05,0.1,0.08333333333333333,0.018433701688838067,0.013857034661426404,0.013857034661426404,0.0046403795565024275,True,True,True,True,,,,,,,-0.0046403795565024275,-0.05870760082677817,-0.3882637457496181,
2017-06-06,-0.3684210526315807,0.0697674418604645,-0.22077922077922107,0.2,0.05,0.1,0.08333333333333333,0.0,-0.004576667027411663,0.0045558165358607905,-0.01379332213233564,False,False,True,False,,,,,,,0.01379332213233564,-0.040273899137940106,-0.35713146072365265,
2017-06-07,-0.3684210526315807,0.0697674418604645,-0.22077922077922107,0.2,0.05,0.1,0.05,-0.00917437627604123,-0.004576667027411663,0.0045558165358607905,-0.01379332213233564,False,False,True,False,,,,,,,0.01379332213233564,-0.03146326945578526,-0.36032125609175236,
2017-06-08,-0.29411764705882426,0.0,-0.24050632911392425,0.2,0.05,0.1,0.05,0.0,0.0182653479772934,0.01373019281190202,-0.00461894585629441,False,True,True,False,,,,,,,0.009259325412796837,-0.04063764573182649,-0.3566749439387322,
2017-06-09,-0.29411764705882426,-0.10000000000000062,-0.178082191780822,0.1,0.05,0.1,0.05,0.004597709248629567,0.004597709248629567,0.01373019281190202,-0.00461894585629441,True,True,True,False,,,,,,,0.009259325412796837,-0.0227800283318198,-0.3566749439387322,
2017-06-12,-0.29411764705882426,-0.07317073170731729,-0.06060606060606038,0.1,0.05,0.1,0.05,0.0,0.0,0.009132483563272453,-0.009216655104923976,False,False,True,False,,,,,,,0.013857034661426404,-0.018182319083190235,-0.33253263861713234,
2017-06-13,-0.37499999999999917,-0.049999999999999864,-0.06060606060606038,0.1,0.05,0.1,0.05,0.0,0.009132483563272453,0.009132483563272453,-0.009216655104923976,False,True,True,False,,,,,,,-0.004576667027411663,-0.022676708671029777,-0.31928741186711185,
2017-06-14,-0.37499999999999917,-0.049999999999999864,-0.03124999999999988,0.3,0.15,0.1,0.1,0.013667638728663833,0.009132483563272453,0.009132483563272453,-0.009216655104923976,True,True,True,False,,,,,,,-0.004576667027411663,-0.027150989065950704,-0.31928741186711185,
2017-06-15,-0.1578947368421039,0.02325581395348872,0.04615384615384624,0.3,0.2,0.1,0.11666666666666667,-0.013667638728663833,-0.00453515516539138,-0.013667638728663833,-0.02288429383358781,False,False,False,False,,,,,,,0.0182653479772934,-0.01348335033728687,-0.305619773138448,
2017-06-16,-0.2727272727272718,-0.09090909090909062,0.030303030303030172,0.7,0.25,0.1,0.13333333333333333,0.0,0.009132483563272453,0.0,0.022676708671029777,False,True,False,True,,,,,,,0.004597709248629567,-0.027150989065950704,-0.3125984237163155,
2017-06-19,-0.2727272727272718,-0.2631578947368423,0.0625000000000003,0.3,0.25,0.075,0.03333333333333333,0.009132483563272453,0.009132483563272453,-0.009216655104923976,0.022676708671029777,True,True,False,True,,,,,,,0.0,-0.027150989065950704,-0.3024802935507307,
2017-06-20,-0.09090909090909062,-0.20000000000000034,0.0909090909090911,0.4,0.2,0.075,0.03333333333333333,0.0,0.0,-0.01834913866819643,0.013544225107757324,False,False,False,True,,,,,,,0.009132483563272453,-0.01801850550267825,-0.29334780998745824,
